,index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
285,286,Almond & Rose Soap Value Pack,Beauty & Hygiene,Bath & Hand Wash,Himalaya,131.2,160.0,Bathing Bars & Soaps,4.3,"Himalaya Almond & Rose Soap combines 10% natural actives to restore the body's water content. This non-greasy soap leaves skin feeling soft, supple and toned. Blended with all natural ingredients such as Almond Oil and Persian Rose, this body soap deeply penetrates into the skin to hydrate it completely."
504,505,Soft & Fresh Soap Bar,Beauty & Hygiene,Bath & Hand Wash,Pears,72.0,72.0,Bathing Bars & Soaps,4.4,"Pears Soft & Fresh Soap is a multi-purpose soap that cleans your skin and keeps it supple all the time. True to its name, the soap gives you a soft and fresh skin instantly.Its active ingredients moisturize your skin from deep within and keeps it looking clean and the pure glycerin and mint extracts give it an instant cool freshness. Give yourself a refreshing shower every day, buy the Pears Soft & Fresh Soap Bar, right here!  For Beauty tips, tricks & more visit https://bigbasket.blog/"
514,515,Shikakai - Amla and Bhringraj,Beauty & Hygiene,Bath & Hand Wash,Godrej,20.9,22.0,Bathing Bars & Soaps,4.2,"Godrej Shikakai Amla Plus conditioning hair soap is enriched with normal ingredients, namely Shikakai, Amla and Bhringraj that cleanse condition and encourage your hair, keeping it spongy, smooth and shiny. It has Amla Plus conditioning that provides conditioning similar to shampoos. Godrej Shikakai with natural ingredients is a suitable and cheap way to have dirt free, shiny and strong hair.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
544,545,"Bathing Bar Soap - Germ Protection, Original",Beauty & Hygiene,Bath & Hand Wash,Dettol,335.81,440.0,Bathing Bars & Soaps,4.3,"Dettol is one of the worlds most trusted antiseptic protection brand which gives you 99. 99% protection against disease causing bacteria, germs and es. Their body bathing bar is guaranteed to provide you 100% better freshness than the other ordinary bodywashes. It is refreshing and rejuvenating properties will brighten up your mornings and will leave you energised and smelling great.  | With nourishing moisturisers that make skin softer and smoother.  | Use as a part of personal hygiene for healthy skin everyday.  | Dermatologically tested to be safe on skin.  | Recommended by the Indian Medical Association."
563,564,Bathing Soap - Cucumber & Coconut,Beauty & Hygiene,Bath & Hand Wash,Himalaya,99.36,120.0,Bathing Bars & Soaps,4.2,"Himalaya Herbals Refreshing Cucumber Soap is enriched with extracts of nut grass that sooth and moisturize the skin. It has turmeric which keeps the skin due to its antibacterial activities. The Cucumber sooth, rinse and energize and Oil of Coconut nourishes and moisturizes skin.For Beauty tips, tricks & more visit https://bigbasket.blog/"
831,832,Pink/Rosa Beauty Bathing Bar,Beauty & Hygiene,Bath & Hand Wash,Dove,193.5,215.0,Bathing Bars & Soaps,4.3,"We think that skin cleansing should be an act of beauty for your skin that leaves it feeling soft and cared for. And Dove Pink Rosa Beauty Bar has a delicate blush of colour that adds a touch of feminine sophistication to your bathroom. It is combined with our ¼ moisturising cream to create a beauty bar that helps nourish your skin during cleansing. Dove Beauty Bars are specially formulated to deliver skin nourishment, helping your skin to keep its natural moisture during cleansing. Pink Rosa Beauty Bar contains our ultra-mild cleansers, which don’t strip skin of moisture as a regular soap bar can. It’s mild enough to be used on your face, body and hands – the perfect addition to your daily skin cleansing routine. Dove is the No.1 Brand recommended by dermatologists in India. For best results, lather up your Dove Beauty Bar and massage the smooth, creamy lather over your face and body before rinsing thoroughly. For soft, smooth hands, you can also enjoy regular hand-washing throughout the day with your Dove bar. Soap may dry out your hands, but the classic moisturising formula of Dove bars will leave skin softer, smoother and more glowing. Buy Now!"
1076,1077,Lavender Try Me Personal Care Gift Set,Beauty & Hygiene,Bath & Hand Wash,Soulflower,850.0,1000.0,Bathing Bars & Soaps,5.0,"Gift yourself or your loved ones Soulflower Lavender Try Me Bath set. Soulflower bath & body products provide you with your very own spa at home. The products range in our gift set are formulated by combining precious essential oils with the blend of natural and organic ingredients. The idea behind the whole creation is to provide you and your dear ones the natural and vegan skin care products which are healthy, regenerating and maintain body and skin balance.Lavender is one of the most well-known, versatile, and extensively used essential oils in the world. When we use lavender essential oil, we receive the blessings of the feminine, because lavender could be described as an angel of healing from the floral realm and an expression of the earth's compassion. Lavender oil is one of the safest of all essential oils. It is a highly sattvic oil, meaning that it purifies aggravated emotional states and helps bring mental peace. Lavender oil is also an effective ingredient when it comes to enhancing the depth of hair follicles."
1322,1323,Licorice & Saffron Skin Lightening,Beauty & Hygiene,Bath & Hand Wash,Azafran,116.25,155.0,Bathing Bars & Soaps,4.5,"This Licorice & Saffron Skin Lightening is a cross between organic liquorice extract and saffron, with olive butter undertones to gently caress your skin and keep it baby smooth. This Skin Lightening Soap is made with butter of safflower and olive with a blend of coconut oil gives it a beautiful lift. A beauty indulgence to revitalize your skin."
1396,1397,Sandal & Almond Milk Soap,Beauty & Hygiene,Bath & Hand Wash,Santoor,139.5,155.0,Bathing Bars & Soaps,4.4,"The deep acting ingredients of Sandal and Almond Milk softens and moisturizes your skin giving you a younger looking skin. The new variant moisturizes and provides you with a softer skin and a fragrance that will enhance your entire bathing experience. Santoor Sandal and Almond milk soap hydrates and moisturizes your skin to have a glow like a bride. It removes tanning, cures skin itching and detoxifies the skin."
1606,1607,Soap - Saffron,Beauty & Hygiene,Bath & Hand Wash,Lux,99.0,99.0,Bathing Bars & Soaps,4.3,"Gift yourself the luxury of sublime gentleness that you truly deserve. With LUX Saffron Glow Soap bar, revel in the labour of love, born from the courtship between Lux and the worlds finest perfumers that will leave your skin smooth and delicately scented. Infused with floral beauty oil for a fragrance bloom thats two times better than real flowers. LUX saffron glow lets you indulge in a sensorial experience as you soothe yourself with the sensual fragrance of saffron flowers. Experience the intriguing twist of chamomile and saffron with a fruity blend of pear and apple upon touch, along with the aromatic bliss of roses and ylang ylang paired with the undertones of violet."
1637,1638,Health+ Bath Soap - 99.9% Germ Protection,Beauty & Hygiene,Bath & Hand Wash,Cinthol,240.8,280.0,Bathing Bars & Soaps,4.3,"Cinthol Confidence+ Bath Soap, one of the leading bathing soap brands in India, has the power of germ protection with an amazing deo fragrance. It makes you confident as you take on everyday challenges and brings you to life. With Cinthol Confidence+ Soap, being Alive is Awesome.

Explore the wide range of refreshing Cinthol bath soaps, available in 4 other variants, namely Cool, Deo, Lime and Original."
1728,1729,Soap - Saffron,Beauty & Hygiene,Bath & Hand Wash,Future Organics,120.0,120.0,Bathing Bars & Soaps,5.0,"Relax your body and calm your mind with the rich smooth fragrance of saffron. Indulge in an exotic bath as the soft and fresh natural fragrance opens up the mind, spirit and heart and helps you reach the pinnacle of awareness and energy.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
1802,1803,Natural Fairness Natural Ayurvedic Saffron Soap,Beauty & Hygiene,Bath & Hand Wash,Lever Ayush,27.0,27.0,Bathing Bars & Soaps,4.1,"Ayush Natural Fairness Saffron soap contains the goodness of Saffron (Kesar) & Kumkumadi Thailam. Saffron (Kesar) is an Ayurvedic herb with great medicinal value that is known for its brightening & healing properties, and Kumkumadi Tailam, is a unique blend of 16 herbs and oil formulated to cure marks, lighten skin colour and improve skins quality for a golden glow. The Ayush range of products has been carefully crafted with authentic recipes and processes, prescribed in the ancient Granthas. Traditionally, Ayurvedic ingredients were consciously picked at a certain time of the day, when they are most potent to create extremely effective Ayurvedic solutions. Lever Ayush uses the most potent ingredients that are highly beneficial to the skin, hair & teeth. The goodness of ingredients like Turmeric (Haldi), Saffron (Kesar), Cows ghee, Cardamom and Rock Salt has been used to formulate products that address our most worrying beauty problems. At Lever Ayush, we strive to make ancient Ayurvedic wisdom accessible to solve modern-day beauty problems. We believe that the solution to our beauty problems lies in the 5000-year-old Ayurvedic granthas, that prescribes the way to solve these problems from the root. We work with one of the world’s premier Ayurvedic institutes, Arya Vaidya Pharmacy (AVP) to create products that use the right ingredients to make them unique and incredibly effective."
2019,2020,Premium Bathing Bar - Citric Orange,Beauty & Hygiene,Bath & Hand Wash,Freale,40.0,40.0,Bathing Bars & Soaps,4.5,- Moisturises skin for natural softness - Soothes mind with gentle long-lasting fragrance - Rich lathering for optimum cleansing
2123,2124,Strawberry Soap,Beauty & Hygiene,Bath & Hand Wash,Khadi Natural,70.0,70.0,Bathing Bars & Soaps,4.2,Khadi Natural presents Strawberry Soap to delight you with the fruity scent and leave you sweetly scented throughout the day. Soap up and lather in the shower with this vitamin enriched soap and reap its plentiful skin benefits as it is rich in antioxidants and watch your skin soften and smoothen with every wash.
2138,2139,Hexa Advanced Soap,Beauty & Hygiene,Bath & Hand Wash,Savlon,213.2,260.0,Bathing Bars & Soaps,4.3,"Utilising the expertise from its rich 50-year-old legacy, Savlon presents the Savlon Hexa advanced soap. Savlon Hexa Advanced soap addresses your increased need for germ protection in keeping with the times. The soap offers advanced protection against viruses* and bacteria~ and keeps you protected. Use Savlon Hexa advanced soap, which is enriched with Hexa pro power and protect your family from 99.99% germs. Bring home savlon's trusted protection. *Basis lab study on H1N1 Virus and Rotavirus. Washes away germs. ~Basis lab study on Sample Microbes. Washes away germs."
2150,2151,Clear Glycerine Soap - Oil Balance (Eucalyptus Oil & Mint),Beauty & Hygiene,Bath & Hand Wash,Medimix,40.0,40.0,Bathing Bars & Soaps,4.3,"Medimix Clear Glycerine-Oil Balance is inevitable for people with oily skin. It facilitates keep skin balance by cleansing excess oil. It includes the exclusive and time tested blend of mint, eucalyptus oil and glycerine, which helps maintain skin clear from overload oil and acne.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
2155,2156,Bathing Soap - Sandal & Turmeric,Beauty & Hygiene,Bath & Hand Wash,Godrej No.1,106.72,116.0,Bathing Bars & Soaps,4.2,"Favoured by over 380 million consumers, Godrej No.1 offers you 'nature's way to beauty' with carefully chosen natural ingredients to make your skin naturally beautiful. It is Grade 1 quality soap and the highest-selling soap of its kind in the country. Godrej No.1 Sandal and Turmeric soap come with the sweet, balsamic, woody scent of the sandal. It preserves the young nature of your skin giving you a perfect complexion. It protects your skin and gives you a youthful and young look."
2196,2197,Cream Beauty Bathing Bar,Beauty & Hygiene,Bath & Hand Wash,Dove,53.0,53.0,Bathing Bars & Soaps,4.3,"Dove Cream Beauty Bar combines a gentle cleansing formula with Dove’s signature ¼ moisturising cream to give you softer, smoother and more glowing skin. The mild cleansers help your skin to retain its natural moisture rather than stripping it away.  This Dove bar even helps to replenish nutrients that are lost during the cleansing process – where a regular soap bar might leave your skin feeling dry and tight, a Dove White Bar leaves it feeling soft and smooth. It’s not a soap – it’s a beauty bar. Washing with regular soap can cause the skin to feel dry, tight and irritated as some cleansing ingredients strip skin of essential nutrients. What makes Dove different? Its gentle cleansers help your skin retain its natural moisture and its mild formula is kind to your skin. Dove is the No.1 Brand recommended by dermatologists in India.  For best results, lather up your Dove Beauty Bar and massage the smooth, creamy lather over your face and body before rinsing thoroughly. For soft, smooth hands, you can also enjoy regular hand-washing throughout the day with your Dove bar. Soap may dry out your hands, but the classic moisturising formula of Dove bars will leave skin softer, smoother and more glowing."
2291,2292,Bathing Soap - Kesar & Milk Cream,Beauty & Hygiene,Bath & Hand Wash,Godrej No.1,106.72,116.0,Bathing Bars & Soaps,4.4,"Favoured by over 380 million consumers, Godrej No.1 offers you 'nature's way to beauty' with carefully chosen natural ingredients to make your skin naturally beautiful. It is Grade 1 quality soap and the highest-selling soap of its kind in the country. Saffron, the age-old skin brightening ingredient has been combined with rich milk cream in this Godrej No.1 Kesar and Milk Cream soap, to give you a skin that is glowing and soft at the same time. Use it every day to experience a unique natural glow! It preserves the young nature of your skin giving you a perfect complexion. It protects your skin and gives you a youthful and young look."
2325,2326,Bathing Bar Soap - Cool,Beauty & Hygiene,Bath & Hand Wash,Dettol,280.5,330.0,Bathing Bars & Soaps,4.3,Dettol is one of the worlds most trusted antiseptic protection brand which gives you 99.99% protection against disease-causing bacteria and germs. Their body bathing bar is guaranteed to provide you 100% better freshness than the other ordinary body washes. It is refreshing and rejuvenating properties will brighten up your mornings and will leave you energised and smelling great.With nourishing moisturisers that make skin softer and smoother.Use as a part of personal hygiene for healthy skin every day.Dermatologically tested to be safe on the skin.Recommended by the Indian Medical Association.
2364,2365,Khus Soap,Beauty & Hygiene,Bath & Hand Wash,Khadi Natural,70.0,70.0,Bathing Bars & Soaps,4.1,Khus soap gives extra softness & beautiful skin. It removes extra dryness from the skin. It has regeneration property which keeps skin toned and supple. It is useful for all types of skin.
2495,2496,Bathing Soap - Total,Beauty & Hygiene,Bath & Hand Wash,Lifebuoy,65.0,65.0,Bathing Bars & Soaps,4.5,"The Lifebuoy Total Soap Bar offers complete germ protection for you and your family. Formulated with Active5, this soap bar protects your entire family from various bacteria and diseases. The advanced formula builds a protective guard over your skin, keeping away skin impurities and protecting against dust and dirt. Give your family a 100% better germ protection with this antibacterial soap bar from Lifebuoy. Enjoy clean, soft skin and a germ-free bathing experience. Buy Lifebuoy Total Soap Bar now!  For Beauty tips, tricks & more visit https://bigbasket.blog/"
2862,2863,Coconut & Olive Oil Soap,Beauty & Hygiene,Bath & Hand Wash,Rexona,28.0,28.0,Bathing Bars & Soaps,4.3,"Get promising soft skin with this bathing bar from Rexona. Enriched with the goodness of coconut and olive oil, this soap bar offers you an enchanting bathing experience like never before. This soap reaches the deepest skin cells and hydrates it, leaving behind soft and supple skin. Fall in love every day with yourself and revive the romance in your married life with Rexona. Rexona comes with the goodness of 100% naturally sourced coconut oil and olive oil. When used daily, it leaves skin feeling so silky, soft that not only will you fall in love with it, but even your husband will find excuses to pamper you again and again. One day he will want to help you with making the breakfast, on another day he will help you with the utensils, and of course, he will look forward to all the selfies on your vacation. So try Rexona, revive the romance, and feel 100% loved. This soap reaches the deepest skin cells and hydrates it, leaving behind soft and supple skin. With a refreshing scent, this soap bar rejuvenates you after every bath and keeps you clean for hours after that. So go try our NEW Rexona soap today!!!"
3072,3073,& Moms Bathing Soap - Tulsi,Beauty & Hygiene,Bath & Hand Wash,Dettol,108.0,120.0,Bathing Bars & Soaps,4.4,"Your trusted Dettol offers a new range of Dettol Co-Created with Moms beauty bathing soaps. It is made by ingredients approved by moms and with minimal chemicals. This new range is free from parabens, harsh chemical residues, artificial dyes, and talc; it has fragrance infused with 100% natural basil essence. It gives 10 times better protection than any ordinary soap and is gentle on skin. Reassuringly, Dettol protects from a wide range of illness-causing germs and bacteria to help you stay healthy."
3171,3172,Bathing Bar Soap - Skincare,Beauty & Hygiene,Bath & Hand Wash,Dettol,219.0,219.0,Bathing Bars & Soaps,4.2,"Dettol Soap contains nourishing moisturizers that also provides germ protection from a wide range of unseen germs. It helps make skin softer, smoother and healthier. Personal hygiene plays a critical role in preventing the spread of illness and infection, and the lack of it can cause infection, skin complaints and skin infections. Skin is our first line of defence from the outside world and by keeping skin clean and moisturised, the barrier function will stay intact and the overall health and appearance of the skin will be improved. Reassuringly, Dettol protects from a wide range of illness-causing germs and bacteria to help you stay healthy. We have a broad range of products, from the iconic Dettol Original to our skincare range and even products to help you feel fresh all day long."
3276,3277,Ayurvedic Soap Combo (Buy 3 Get 75g Free),Beauty & Hygiene,Bath & Hand Wash,Chandrika ,249.87,280.0,Bathing Bars & Soaps,4.4,"Chandrika has been the beauty secret of millions of women over the world. Today, it is one of the most trusted brands in South India, with its pure ayurvedic ingredients known to cure skin problems and give clear and flawless skin, naturally. Made with the purest coconut oil and best of ayurvedic herbs, Chandrika is safe and effective. It has more than double the amount of coconut oil and Ayurvedic herbs, which gently treats skin problems and gives you clear, smooth and beautiful skin.
With regular use, Chandrika protects one from common skin problems like pimples, dark spots, rashes, pigmentation etc. The result will be obvious as clear, blemish-free skin, naturally.
The pack contains 2 Packs Combo of Chandrika Soap - (3 N x 125 g + 1 N x 75 g)"
3371,3372,International Creamy Perfection Soap Bar,Beauty & Hygiene,Bath & Hand Wash,Lux,65.0,65.0,Bathing Bars & Soaps,4.4,"Want to feel radiant every day? Start every day with the fine fragrance of LUX International Creamy Perfection beauty bar. This luxurious body soap combines the soft, feminine scent of white florals with a luscious, creamy formula to pamper your senses and care for your skin. Enriched with Swiss moisturizers, feel the difference when you lather up in the shower and reveal delicately perfumed and radiant skin worthy of a star. Crafted for women who want to feel beautiful every day, the precious essence of white flowers has been transformed into a sophisticated fragrance by the worlds top perfumers. The subtle scent of LUX International Creamy Perfection beauty bar lightly lingers on your skin, making it the perfect perfume for any occasion, morning or night. For maximum enjoyment, turn every bath into an exquisite pampering session. As you lather up, lush bubbles soap up decadently and gently cleanse your skin to leave it silky soft, smooth and irresistibly perfumed. This beauty bar is a perfumed soap bar that brings out your extraordinary every day, with every shower. LUX beauty bar fragrances are crafted by the worlds best perfumers to transform your daily shower into an indulgent experience that will make you feel special every day."
3406,3407,"Antiseptic + Moisturising Soap - Neem, Tulsi & Aloe Vera",Beauty & Hygiene,Bath & Hand Wash,Boroplus,110.0,110.0,Bathing Bars & Soaps,4.2,"BoroPlus Antiseptic + Moisturising Soap Neem, Tulsi & Aloe Vera
• Kills 99.99% Germs and Kills Virus
• Softens and Moisturises Skin
• From India’s No. 1 Antiseptic# Brand
• Recommended by Doctors
• Gives Healthy Skin
• Enriched with Antiseptic & Healing Power of Neem & Tulsi
• Moisturising power of Aloe Vera
• Protects your entire family Free from Paraben, Silicones and Artificial colourants Anti-bacterial Toilet soap: Grade 1. TFM 76%"
3645,3646,Moms Jasmine Soap,Beauty & Hygiene,Bath & Hand Wash,Dettol,175.5,195.0,Bathing Bars & Soaps,4.2,"Your Trusted Dettol offers a new range of Dettol Co-Created with Moms beauty bathing soaps. It is made by ingredients approved by moms and with minimal chemicals. This new range is free from parabens, harsh chemical residues, artificial dyes, and talc; it has fragrance infused with 100% natural jasmine essence. It gives 10 times better protection than any ordinary soap and is gentle on skin. Reassuringly, Dettol protects from a wide range of illness-causing germs and bacteria to help you stay healthy."
3769,3770,Herbal Papaya Soap,Beauty & Hygiene,Bath & Hand Wash,Khadi Natural,70.0,70.0,Bathing Bars & Soaps,4.1,"This papaya Soap is rich in vitamin E and enriched with papaya extracts, it helps in making the skin soft and supple.Benefits:Its natural ingredients help in skin whitening and lighteningWith regular use the skin becomes youthful and radiant, it also protects skin from early ageingIt also helps in Repairing and maintaining your skin’s barrierHelps in Restoration of a healthy glow and smooth texture"
3815,3816,Gel Bathing Bar - Peach & Avocado,Beauty & Hygiene,Bath & Hand Wash,Fiama,145.5,150.0,Bathing Bars & Soaps,4.4,"Wash away the troubles of your day, with the foamy, fresh, and fun Fiama Gel Bar. And while you enjoy your Fiama bath, let its skin-conditioners work their magic to give you soft moisturised skin. So get ready to wash away a hard day, one bath at a time."
3892,3893,Gel Bathing Bar - Patchouli & Macadamia La Fantasia,Beauty & Hygiene,Bath & Hand Wash,Fiama,142.5,150.0,Bathing Bars & Soaps,4.3,"Wash away the troubles of your day, with the foamy, fresh, and fun Fiama Gel Bar. And while you enjoy your Fiama bath, let its skin-conditioners work their magic to give your skin a soft glow. So, get ready to let your bath, take care of you after a rough day."
3984,3985,"Gel Bar - Bearberry Blackcurrant Exotic Dream (Pack of 3, 125 g each)",Beauty & Hygiene,Bath & Hand Wash,Fiama,446.88,480.0,Bathing Bars & Soaps,4.5,"Fiama Di Wills Exotic Dream Gel Bathing Bar is hand-crafted using ITC original Liquid Crystal Freezing technology, which freezes gel into a bathing bar. It has skin conditioners for ultra excellent moisturisation.For Beauty tips, tricks & more visitÂ https://bigbasket.blog/"
3991,3992,Bathing Soap - Original Neem,Beauty & Hygiene,Bath & Hand Wash,Margo,85.0,90.0,Bathing Bars & Soaps,4.2,"Neem is a natural source of therapeutic benefits has been scientifically proven to be amazingly effective for skin care. Margo Original Neem is made from 100% Original Neem through a unique procedure ensuring the therapeutic benefits of neem are retained. It is infused with Vitamin E for added moisturising. Its anti-bacterial action deep cleanses and protects your skin, giving it the care it deserves. With a combination of medicinal and beauty benefits along with the goodness of 1000 neem leaves, Margo Original Neem is a healer and a cosmetician, with moisturising properties, without any side effects.Margo is an established Neem soap launched in the year 1920. Over the years the brand has delivered on its promise of giving a clear, problem-free beautiful skin. Margo is a household name in India and represents a heritage that has been passed from generation to generation. It is regarded as the ultimate neem soap and is often used as a synonym to neem soaps by consumers across India. The brand has traversed the journey of 98 years successfully. The brand was endorsed by leading celebrities over the years."
4063,4064,Bathing Soap (Lavender & Milk Cream),Beauty & Hygiene,Bath & Hand Wash,Godrej,40.0,40.0,Bathing Bars & Soaps,4.3,"For Beauty tips, tricks & more visit https://bigbasket.blog/"
4228,4229,Jasmine Soap,Beauty & Hygiene,Bath & Hand Wash,Khadi Natural,70.0,70.0,Bathing Bars & Soaps,4.1,"Herbal Jasmine Soap is a gentle cleansing soap with the wonderful scent of the jasmine flower. The well known therapeutic properties of Jasmine are beneficial for all skin types - dry, oily or sensitive. Soothes your mind and body. Alleviates aches and pains. Clarifies and protects. Hydrates for softer skin. Heals blemishes and scars."
4266,4267,Aloe Vera Soap,Beauty & Hygiene,Bath & Hand Wash,Khadi Natural,66.5,70.0,Bathing Bars & Soaps,4.3,Aloevera soap maintains moisture balance. Regular use of this soap is a natural way of rejuvenating and keeping your skin soft & beautiful.
4279,4280,Cold Processed Skin Lavender Handmade Soap,Beauty & Hygiene,Bath & Hand Wash,Soulflower,255.0,300.0,Bathing Bars & Soaps,4.8,"100% pure, natural, vegan and cold-pressed Soulflower Skin Lavender Soap is a handmade, hand-cut, natural oil-based soap. The soothing properties of Pure Lavender not only gives the soap its floral aroma but also improves skin texture. Detoxify and moisturize your skin with this soap charged with natural oils that form a smooth and creamy lather and makes your skin look younger."
